sektor,transaktionspost,kvartal,"Inkomster och utgifter samt kapitaltransaktioner (ENS2010), löpande priser, mnkr"
S11 Icke-finansiella bolag,"D43S22.REC Återinvesterade vinstmedel från utländska direktinvesteringar utanför EU, tillgång",2024K1,44732
S11 Icke-finansiella bolag,"D43S22.REC Återinvesterade vinstmedel från utländska direktinvesteringar utanför EU, tillgång",2024K2,10610
S11 Icke-finansiella bolag,"D43S22.REC Återinvesterade vinstmedel från utländska direktinvesteringar utanför EU, tillgång",2024K3,36159
S11 Icke-finansiella bolag,"D43S22.REC Återinvesterade vinstmedel från utländska direktinvesteringar utanför EU, tillgång",2024K4,-5793
S11 Icke-finansiella bolag,"D44.REC Övrig kapitalavkastning, tillgång",2024K1,3517
S11 Icke-finansiella bolag,"D44.REC Övrig kapitalavkastning, tillgång",2024K2,9936
S11 Icke-finansiella bolag,"D44.REC Övrig kapitalavkastning, tillgång",2024K3,2539
S11 Icke-finansiella bolag,"D44.REC Övrig kapitalavkastning, tillgång",2024K4,3452
S11 Icke-finansiella bolag,"D441.REC Kapitalavkastning tillräknad försäkringstagare, tillgång",2024K1,231
S11 Icke-finansiella bolag,"D441.REC Kapitalavkastning tillräknad försäkringstagare, tillgång",2024K2,244
S11 Icke-finansiella bolag,"D441.REC Kapitalavkastning tillräknad försäkringstagare, tillgång",2024K3,202
S11 Icke-finansiella bolag,"D441.REC Kapitalavkastning tillräknad försäkringstagare, tillgång",2024K4,208
S11 Icke-finansiella bolag,"D442.REC Kapitalavkastning på pensionsrätter, tillgång",2024K1,0
S11 Icke-finansiella bolag,"D442.REC Kapitalavkastning på pensionsrätter, tillgång",2024K2,0
S11 Icke-finansiella bolag,"D442.REC Kapitalavkastning på pensionsrätter, tillgång",2024K3,0
S11 Icke-finansiella bolag,"D442.REC Kapitalavkastning på pensionsrätter, tillgång",2024K4,0
S11 Icke-finansiella bolag,"D443.REC Kapitalavkastning tillräknad andelsägare i kollektiva investeringsfonder, tillgång",2024K1,3286
S11 Icke-finansiella bolag,"D443.REC Kapitalavkastning tillräknad andelsägare i kollektiva investeringsfonder, tillgång",2024K2,9692
S11 Icke-finansiella bolag,"D443.REC Kapitalavkastning tillräknad andelsägare i kollektiva investeringsfonder, tillgång",2024K3,2337
S11 Icke-finansiella bolag,"D443.REC Kapitalavkastning tillräknad andelsägare i kollektiva investeringsfonder, tillgång",2024K4,3244
