"användning","år","tabellinnehåll","BNP från användningssidan (ENS2010), försörjningsbalans"
"import av varor","2009","Prisförändring, procent",-1.2
"import av varor","2009","Volymförändring, procent",-16.7
"import av varor","2010","Löpande priser, mnkr",1048267
"import av varor","2010","Fasta priser referensår 2020, mnkr",1046780
"import av varor","2010","Prisförändring, procent",-0.2
"import av varor","2010","Volymförändring, procent",17.9
"import av varor","2011","Löpande priser, mnkr",1125686
"import av varor","2011","Fasta priser referensår 2020, mnkr",1130297
"import av varor","2011","Prisförändring, procent",-0.5
"import av varor","2011","Volymförändring, procent",8.0
"import av varor","2012","Löpande priser, mnkr",1094740
"import av varor","2012","Fasta priser referensår 2020, mnkr",1121240
"import av varor","2012","Prisförändring, procent",-2.0
"import av varor","2012","Volymförändring, procent",-0.8
"import av varor","2013","Löpande priser, mnkr",1036796
"import av varor","2013","Fasta priser referensår 2020, mnkr",1103731
"import av varor","2013","Prisförändring, procent",-3.8
"import av varor","2013","Volymförändring, procent",-1.6
"import av varor","2014","Löpande priser, mnkr",1104164
"import av varor","2014","Fasta priser referensår 2020, mnkr",1161586
"import av varor","2014","Prisförändring, procent",1.2
"import av varor","2014","Volymförändring, procent",5.2
"import av varor","2015","Löpande priser, mnkr",1160114
"import av varor","2015","Fasta priser referensår 2020, mnkr",1221336
"import av varor","2015","Prisförändring, procent",-0.1
"import av varor","2015","Volymförändring, procent",5.1
"import av varor","2016","Löpande priser, mnkr",1200715
"import av varor","2016","Fasta priser referensår 2020, mnkr",1293892
"import av varor","2016","Prisförändring, procent",-2.3
"import av varor","2016","Volymförändring, procent",5.9
"import av varor","2017","Löpande priser, mnkr",1308923
"import av varor","2017","Fasta priser referensår 2020, mnkr",1349629
"import av varor","2017","Prisförändring, procent",4.5
"import av varor","2017","Volymförändring, procent",4.3
"import av varor","2018","Löpande priser, mnkr",1467883
"import av varor","2018","Fasta priser referensår 2020, mnkr",1420234
"import av varor","2018","Prisförändring, procent",6.6
"import av varor","2018","Volymförändring, procent",5.2
"import av varor","2019","Löpande priser, mnkr",1495193
"import av varor","2019","Fasta priser referensår 2020, mnkr",1414850
"import av varor","2019","Prisförändring, procent",2.2
"import av varor","2019","Volymförändring, procent",-0.4
"import av varor","2020","Löpande priser, mnkr",1356987
"import av varor","2020","Fasta priser referensår 2020, mnkr",1356987
"import av varor","2020","Prisförändring, procent",-5.4
"import av varor","2020","Volymförändring, procent",-4.1
"import av varor","2021","Löpande priser, mnkr",1595037
"import av varor","2021","Fasta priser referensår 2020, mnkr",1516927
"import av varor","2021","Prisförändring, procent",5.1
"import av varor","2021","Volymförändring, procent",11.8
"import av varor","2022","Löpande priser, mnkr",2032028
"import av varor","2022","Fasta priser referensår 2020, mnkr",1562031
"import av varor","2022","Prisförändring, procent",23.7
"import av varor","2022","Volymförändring, procent",3.0
"import av varor","2023","Löpande priser, mnkr",2052927
"import av varor","2023","Fasta priser referensår 2020, mnkr",1511556
"import av varor","2023","Prisförändring, procent",4.4
"import av varor","2023","Volymförändring, procent",-3.2
"import av varor","2024","Löpande priser, mnkr",2002923
"import av varor","2024","Fasta priser referensår 2020, mnkr",1494754
"import av varor","2024","Prisförändring, procent",-1.3
"import av varor","2024","Volymförändring, procent",-1.1
"import av tjänster","1980","Löpande priser, mnkr",30895
"import av tjänster","1980","Fasta priser referensår 2020, mnkr",139224
"import av tjänster","1980","Prisförändring, procent",..
"import av tjänster","1980","Volymförändring, procent",..
"import av tjänster","1981","Löpande priser, mnkr",36743
"import av tjänster","1981","Fasta priser referensår 2020, mnkr",147633
"import av tjänster","1981","Prisförändring, procent",12.2
"import av tjänster","1981","Volymförändring, procent",6.0
"import av tjänster","1982","Löpande priser, mnkr",44808
"import av tjänster","1982","Fasta priser referensår 2020, mnkr",152925
"import av tjänster","1982","Prisförändring, procent",17.7
"import av tjänster","1982","Volymförändring, procent",3.6
"import av tjänster","1983","Löpande priser, mnkr",51891
"import av tjänster","1983","Fasta priser referensår 2020, mnkr",150328
"import av tjänster","1983","Prisförändring, procent",17.8
"import av tjänster","1983","Volymförändring, procent",-1.7
"import av tjänster","1984","Löpande priser, mnkr",57286
"import av tjänster","1984","Fasta priser referensår 2020, mnkr",159036
"import av tjänster","1984","Prisförändring, procent",4.4
"import av tjänster","1984","Volymförändring, procent",5.8
"import av tjänster","1985","Löpande priser, mnkr",63741
"import av tjänster","1985","Fasta priser referensår 2020, mnkr",167834
"import av tjänster","1985","Prisförändring, procent",5.4
"import av tjänster","1985","Volymförändring, procent",5.5
"import av tjänster","1986","Löpande priser, mnkr",66285
"import av tjänster","1986","Fasta priser referensår 2020, mnkr",169933
"import av tjänster","1986","Prisförändring, procent",2.7
"import av tjänster","1986","Volymförändring, procent",1.3
"import av tjänster","1987","Löpande priser, mnkr",75970
"import av tjänster","1987","Fasta priser referensår 2020, mnkr",183320
"import av tjänster","1987","Prisförändring, procent",6.2
"import av tjänster","1987","Volymförändring, procent",7.9
"import av tjänster","1988","Löpande priser, mnkr",84407
"import av tjänster","1988","Fasta priser referensår 2020, mnkr",195503
"import av tjänster","1988","Prisförändring, procent",4.2
"import av tjänster","1988","Volymförändring, procent",6.6
"import av tjänster","1989","Löpande priser, mnkr",100224
"import av tjänster","1989","Fasta priser referensår 2020, mnkr",216263
"import av tjänster","1989","Prisförändring, procent",7.3
"import av tjänster","1989","Volymförändring, procent",10.6
"import av tjänster","1990","Löpande priser, mnkr",114432
"import av tjänster","1990","Fasta priser referensår 2020, mnkr",228964
"import av tjänster","1990","Prisförändring, procent",7.8
"import av tjänster","1990","Volymförändring, procent",5.9
"import av tjänster","1991","Löpande priser, mnkr",115578
"import av tjänster","1991","Fasta priser referensår 2020, mnkr",217939
"import av tjänster","1991","Prisförändring, procent",6.1
"import av tjänster","1991","Volymförändring, procent",-4.8
"import av tjänster","1992","Löpande priser, mnkr",123252
"import av tjänster","1992","Fasta priser referensår 2020, mnkr",235936
"import av tjänster","1992","Prisförändring, procent",-1.5
"import av tjänster","1992","Volymförändring, procent",8.3
"import av tjänster","1993","Löpande priser, mnkr",128963
"import av tjänster","1993","Fasta priser referensår 2020, mnkr",199196
"import av tjänster","1993","Prisförändring, procent",23.9
"import av tjänster","1993","Volymförändring, procent",-15.6
"import av tjänster","1994","Löpande priser, mnkr",140170
"import av tjänster","1994","Fasta priser referensår 2020, mnkr",215349
"import av tjänster","1994","Prisförändring, procent",0.5
"import av tjänster","1994","Volymförändring, procent",8.1
"import av tjänster","1995","Löpande priser, mnkr",148917
"import av tjänster","1995","Fasta priser referensår 2020, mnkr",224194
"import av tjänster","1995","Prisförändring, procent",2.0
"import av tjänster","1995","Volymförändring, procent",4.1
"import av tjänster","1996","Löpande priser, mnkr",155846
"import av tjänster","1996","Fasta priser referensår 2020, mnkr",237612
"import av tjänster","1996","Prisförändring, procent",-1.3
"import av tjänster","1996","Volymförändring, procent",6.0
"import av tjänster","1997","Löpande priser, mnkr",181847
"import av tjänster","1997","Fasta priser referensår 2020, mnkr",275478
"import av tjänster","1997","Prisförändring, procent",0.6
"import av tjänster","1997","Volymförändring, procent",15.9
"import av tjänster","1998","Löpande priser, mnkr",203160
"import av tjänster","1998","Fasta priser referensår 2020, mnkr",310127
"import av tjänster","1998","Prisförändring, procent",-0.8
"import av tjänster","1998","Volymförändring, procent",12.6
"import av tjänster","1999","Löpande priser, mnkr",224261
"import av tjänster","1999","Fasta priser referensår 2020, mnkr",336760
"import av tjänster","1999","Prisförändring, procent",1.7
"import av tjänster","1999","Volymförändring, procent",8.6
"import av tjänster","2000","Löpande priser, mnkr",255674
"import av tjänster","2000","Fasta priser referensår 2020, mnkr",373361
"import av tjänster","2000","Prisförändring, procent",2.8
"import av tjänster","2000","Volymförändring, procent",10.9
"import av tjänster","2001","Löpande priser, mnkr",285553
"import av tjänster","2001","Fasta priser referensår 2020, mnkr",393880
"import av tjänster","2001","Prisförändring, procent",5.9
"import av tjänster","2001","Volymförändring, procent",5.5
"import av tjänster","2002","Löpande priser, mnkr",280549
"import av tjänster","2002","Fasta priser referensår 2020, mnkr",381027
"import av tjänster","2002","Prisförändring, procent",1.6
"import av tjänster","2002","Volymförändring, procent",-3.3
"import av tjänster","2003","Löpande priser, mnkr",275442
"import av tjänster","2003","Fasta priser referensår 2020, mnkr",375896
"import av tjänster","2003","Prisförändring, procent",-0.5
"import av tjänster","2003","Volymförändring, procent",-1.3
"import av tjänster","2004","Löpande priser, mnkr",288672
"import av tjänster","2004","Fasta priser referensår 2020, mnkr",390740
"import av tjänster","2004","Prisförändring, procent",0.8
"import av tjänster","2004","Volymförändring, procent",3.9
"import av tjänster","2005","Löpande priser, mnkr",315334
"import av tjänster","2005","Fasta priser referensår 2020, mnkr",413370
"import av tjänster","2005","Prisförändring, procent",3.3
"import av tjänster","2005","Volymförändring, procent",5.8
"import av tjänster","2006","Löpande priser, mnkr",340620
"import av tjänster","2006","Fasta priser referensår 2020, mnkr",439539
"import av tjänster","2006","Prisförändring, procent",1.6
"import av tjänster","2006","Volymförändring, procent",6.3
"import av tjänster","2007","Löpande priser, mnkr",365390
"import av tjänster","2007","Fasta priser referensår 2020, mnkr",464201
"import av tjänster","2007","Prisförändring, procent",1.6
"import av tjänster","2007","Volymförändring, procent",5.6
"import av tjänster","2008","Löpande priser, mnkr",403625
"import av tjänster","2008","Fasta priser referensår 2020, mnkr",490412
"import av tjänster","2008","Prisförändring, procent",4.6
"import av tjänster","2008","Volymförändring, procent",5.6
"import av tjänster","2009","Löpande priser, mnkr",389082
"import av tjänster","2009","Fasta priser referensår 2020, mnkr",456819
"import av tjänster","2009","Prisförändring, procent",3.5
"import av tjänster","2009","Volymförändring, procent",-6.8
"import av tjänster","2010","Löpande priser, mnkr",379955
"import av tjänster","2010","Fasta priser referensår 2020, mnkr",452074
"import av tjänster","2010","Prisförändring, procent",-1.3
